CAMID,Family,Pupation day,Genotype,Sent as ,Dissection day,Stage,FW tube,HW tube,Body Tube,Notes,Extraction date,Conc. 1 ,Conc. 2,Avg.,Amount in 15uL,Use?,CAMID
CAM015214,F120-58,15/06/2020,WW,Pupa,19/06/2020,5d,59,60,26,,10/08/2020,476,381,428.5,6427.5,Yes,CAM015214
CAM015215,F120-58,15/06/2020,WW,Pupa,19/06/2020,5d,63,64,28,,11/08/2020,487,354,420.5,6307.5,Yes,CAM015215
CAM015216,F120-58,15/06/2020,WW,Pupa,19/06/2020,5d,65,66,29,,13/08/2020,442,486,464,6960,Yes,CAM015216
CAM015217,F120-58,15/06/2020,WW,Pupa,19/06/2020,5d,67,68,30,,13/08/2020,229,228,228.5,3427.5,Yes,CAM015217
CAM015218,F120-59,15/06/2020,WW,Pupa,19/06/2020,5d,71,72,33,,14/08/2020,414,359,386.5,5797.5,Yes,CAM015218
CAM015219,FI20.2-20,03/08/2020,WW,pupa,06/08/2020,72h,129,130,63,,17/08/2020,358,363,360.5,5407.5,Yes,CAM015219
CAM015220,FI20.2-46,03/08/2020,WW,pupa,06/08/2020,72h,131,132,64,,17/08/2020,348,301,324.5,4867.5,Yes,CAM015220
CAM015221,FI20.2-59,04/08/2020,WW,pupa,07/08/2020,72h,137,138,67,,17/08/2020,240,261,250.5,3757.5,Yes,CAM015221
CAM015222,FI20.2-1,04/08/2020,WW,pupa,07/08/2020,72h,141,142,69,,17/08/2020,223,221,222,3330,Yes,CAM015222
CAM015223,FI20.2-59,04/08/2020,WW,pupa,07/08/2020,72h,145,146,71,,17/08/2020,413,426,419.5,6292.5,Yes,CAM015223
CAM015224,F120-15,08/06/2020,WW,Pupa,14/06/2020,Mel,15,16,4,,03/08/2020,368,340,354,5310,Yes,CAM015224
CAM015225,F120-13,08/06/2020,WW,Pupa,15/06/2020,Mel,27,28,10,,05/08/2020,236,234,235,3525,Yes,CAM015225
CAM015226,F120-10,08/06/2020,WW,Pupa,15/06/2020,Mel,31,32,12,,10/08/2020,428,360,394,5910,Yes,CAM015226
CAM015227,F120-33,12/06/2020,WW,Larva,18/06/2020,Mel,39,40,16,,11/08/2020,158,142,150,2250,Yes,CAM015227
CAM015228,F120-56,12/06/2020,WW,Larva,18/06/2020,Mel,41,42,17,,13/08/2020,302,294,298,4470,Yes,CAM015228
CAM015229,F120-8,08/06/2020,WW,Pupa,14/06/2020,Pre-mel,19,20,6,,05/08/2020,336,289,312.5,4687.5,Yes,CAM015229
CAM015230,F120-6,08/06/2020,WW,Pupa,14/06/2020,Pre-mel,23,24,8,,11/08/2020,430,329,379.5,5692.5,Yes,CAM015230
CAM015231,F120-14,15/06/2020,WW,Pupa,21/06/2020,Pre-mel,75,76,35,,13/08/2020,352,345,348.5,5227.5,Yes,CAM015231
CAM015232,F120-59,15/06/2020,WW,Pupa,21/06/2020,Pre-mel,79,80,37,,11/08/2020,530,482,506,7590,Yes,CAM015232
CAM015233,F120-59,16/06/2020,WW,Pupa,22/06/2020,Pre-mel,115,116,56,perfect,14/08/2020,507,450,478.5,7177.5,Yes,CAM015233
CAM015234,F120-53,15/06/2020,YY,Pupa,19/06/2020,5d,53,54,23,,10/08/2020,474,442,458,6870,Yes,CAM015234
CAM015235,F120-29,15/06/2020,YY,Pupa,19/06/2020,5d,55,56,24,,11/08/2020,260,355,307.5,4612.5,Yes,CAM015235
CAM015236,F120-48,15/06/2020,YY,Pupa,19/06/2020,5d,57,58,25,,13/08/2020,479,450,464.5,6967.5,Yes,CAM015236
CAM015237,F120-29,15/06/2020,YY,Pupa,19/06/2020,5d,61,62,27,,13/08/2020,641,664,652.5,9787.5,Yes,CAM015237
CAM015238,F120-48,15/06/2020,YY,Pupa,19/06/2020,5d,69,70,32,,14/08/2020,669,649,659,9885,Yes,CAM015238
CAM015239,FI20.2-34,03/08/2020,yy,pupa,06/08/2020,72h,119,120,59,,14/08/2020,211,230,220.5,3307.5,Yes,CAM015239
CAM015240,FI20.2-29,03/08/2020,yy,pupa,06/08/2020,72h,121,122,60,,17/08/2020,495,508,501.5,7522.5,Yes,CAM015240
CAM015241,FI20.2-58,04/08/2020,yy,pupa,07/10/2020,72h,149,150,73,,14/08/2020,208,192,200,3000,Yes,CAM015241
CAM015242,FI20.2-58,04/08/2020,yy,pupa,07/10/2020,72h,151,152,74,,14/08/2020,342,337,339.5,5092.5,Yes,CAM015242
CAM015243,FI20.2-12,04/08/2020,yy,pupa,07/10/2020,72h,157,158,77,,14/08/2020,258,362,310,4650,Yes,CAM015243
CAM015244,F120-4,08/06/2020,YY,Pupa,15/06/2020,Mel,25,26,9,,03/08/2020,460,462,461,6915,Yes,CAM015244
CAM015245,F120-29,12/06/2020,YY,Larva,18/06/2020,Mel,43,44,18,,10/08/2020,351,293,322,4830,Yes,CAM015245
CAM015246,F120-40,13/06/2020,YY,Larva,19/06/2020,Mel,47,48,20,,10/08/2020,359,323,341,5115,Yes,CAM015246
CAM015248,F120-19,15/06/2020,YY,Pupa,21/06/2020,Mel,91,92,43,,13/08/2020,415,371,393,5895,Yes,CAM015248
CAM015247,F120-31,16/06/2020,YY,Pupa,23/06/2020,Mel,117,118,57,,20/08/2020,160,155,157.5,2362.5,Yes,CAM015247
CAM015249,F120-2,08/06/2020,YY,Pupa,14/06/2020,Pre-mel,17,18,5,good sample,10/08/2020,388,347,367.5,5512.5,Yes,CAM015249
CAM015250,F120-19,08/06/2020,YY,Pupa,14/06/2020,Pre-mel,21,22,7,good sample,11/08/2020,462,239,350.5,5257.5,Yes,CAM015250
CAM015251,F120-53,15/06/2020,YY,Pupa,21/06/2020,Pre-mel,73,74,34,good sample,11/08/2020,530,482,506,7590,Yes,CAM015251
CAM015252,F120-53,15/06/2020,YY,Pupa,21/06/2020,Pre-mel,77,78,36,good sample,13/08/2020,498,448,473,7095,Yes,CAM015252
CAM015253,F120-48,15/06/2020,YY,Pupa,21/06/2020,Pre-mel,83,84,39,good sample,14/08/2020,302,354,328,4920,Yes,CAM015253